FILM_FLAG,CATEGORY,NOMINEE,PERSON_FLAG,RELATED_FILM_SHOW,TWITTER_SCREEN_NAME,MOVIE_RELEASE_DATE,OFFICIAL_MOVIE_HASTAG,ACTOR_BIRTHDATE,ACTOR_AGE,WINNER_FLAG,GENDER_FLAG,NOMINEE_FLAG
1,Best Screenplay – Motion Picture,Adam McKay,1,The Big Short,GhostPanther,12/11/2015,TheBigShort,4/17/1968,47,L,M,1
1,Best Supporting Actor in a Motion Picture,Paul Dano,1,Love & Mercy,,12/26/2014,LoveandMercy,6/19/1984,31,L,M,1
1,Best Supporting Actor in a Motion Picture,Mark Rylance,1,Bridge of Spies,,10/4/2015,BridgeOfSpies,1/18/1960,56,L,M,1
1,Best Supporting Actor in a Motion Picture,Michael Shannon,1,99 Homes,,9/25/2015,99Homes,8/7/1974,41,L,M,1
1,Best Supporting Actor in a Motion Picture,Idris Elba,1,Beasts of No Nation,idriselba,10/16/2015,beastOfNoNation,9/6/1972,43,L,M,1
1,Best Supporting Actor in a Motion Picture,Sylvester Stallone,1,Creed,TheSlyStallone,11/25/2015,CREED,7/6/1946,69,W,M,1
0,"Best Supporting Actor in a Series, Limited-Series or TV Movie",Alan Cumming,1,The Good Wife,Alancumming,,,1/27/1965,51,L,M,1
0,"Best Supporting Actor in a Series, Limited-Series or TV Movie",Tobias Menzies,1,Outlander,TobiasMenzies,,,3/7/1974,41,L,M,1
0,"Best Supporting Actor in a Series, Limited-Series or TV Movie",Damian Lewis,1,Wolf Hall,,,,,,L,M,1
0,"Best Supporting Actor in a Series, Limited-Series or TV Movie",Ben Mendelsohn,1,Bloodline,,,,,,L,M,1
0,"Best Supporting Actor in a Series, Limited-Series or TV Movie",Christian Slater,1,Mr. Robot,ChristianSlater,,,8/18/1969,46,W,M,1
1,Best Supporting Actress in a Motion Picture,Jennifer Jason Leigh,1,The Hateful Eight,,12/25/2015,TheHatefulEight,2/5/1962,53,L,F,1
1,Best Supporting Actress in a Motion Picture,Helen Mirren,1,Trumbo,,11/6/2015,Trumbo,7/26/1945,70,L,F,1
1,Best Supporting Actress in a Motion Picture,Alicia Vikander,1,Ex Machina,,4/10/2015,ExMachina,10/3/1988,27,L,F,1
1,Best Supporting Actress in a Motion Picture,Kate Winslet,1,Steve Jobs,,10/9/2015,SteveJobsMovie,10/5/1975,40,W,F,1
1,Best Supporting Actress in a Motion Picture,Jane Fonda,1,Youth,Janefonda,12/4/2015,theYouth,12/21/1937,78,L,F,1
0,"Best Supporting Actress in a Series, Limited-Series, or TV Movie",Uzo Aduba,1,Orange is the New Black,UzoAduba,,,2/10/1981,34,L,F,1
0,"Best Supporting Actress in a Series, Limited-Series, or TV Movie",Joanne Froggatt,1,Downton Abbey,JoFroggatt,,,8/24/1980,35,L,F,1
0,"Best Supporting Actress in a Series, Limited-Series, or TV Movie",Regina King,1,American Crime,ReginaKing,,,1/15/1971,45,L,F,1
0,"Best Supporting Actress in a Series, Limited-Series, or TV Movie",Judith Light,1,Transparent,JudithLight,,,2/9/1949,66,L,F,1
0,"Best Supporting Actress in a Series, Limited-Series, or TV Movie",Maura Tierney,1,The Affair,,,,,,W,F,1
0,Best TV Movie or Limited-Series,American Crime,0,American Crime,AmericanCrimeTV,,,,,L,,1
0,Best TV Movie or Limited-Series,American Horror Story: Hotel,0,American Horror Story: Hotel,AHSFX,,,,,L,,1
0,Best TV Movie or Limited-Series,Fargo,0,Fargo,FargoFX,,,,,L,,1
0,Best TV Movie or Limited-Series,Flesh and Bone,0,Flesh and Bone,FleshAndBoneSTZ,,,,,L,,1
0,Best TV Movie or Limited-Series,Wolf Hall,0,Wolf Hall,wolfhalldrama,,,,,W,,1
0,Best TV Series – Comedy,Casual,0,Casual,CasualOnHulu,,,,,L,,1
