,Spotlight
148,"@CasparSalmon Spotlight's the better film, and The Big Short is the one that's winning the Best Picture Oscar."
149,"@shaldore @kristapley I think Mad Max is the best of the nominees, yes. But Spotlight would have been a fine winner."
150,"SCREENWRITER OF THE YEAR: Tom McCarthy and Josh Singer, ""Spotlight"" #LondonCritics"
151,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
152,"BEST DIRECTOR
McKay, The Big Short
Miller, Mad Max: Fury Road
Scott, The Martian
Inarritu, The Revenant
McCarthy, Spotlight"
153,"BEST ORIGINAL SCREENPLAY
Bridge of Spies
Ex Machina
Inside Out
Sicario
Spotlight"
154,"BEST FILM EDITING
The Big Short
Mad Max: Fury Road
The Martian
Sicario
Spotlight"
155,"BEST PICTURE (Drama)
Will win: Spotlight
Should win: Carol 
Should tie with Carol because oh my god why choose between them: 45 Years"
156,"BEST SCREENPLAY
Will win: The Big Short
Should win: Spotlight (but what a dull field)
Should *really* win: Ex Machina"
157,"@eggsbened Yes. Future dissertations will be written on ""What Happened Between 'The Cobbler' and 'Spotlight'""."
158,"@joereid @r0bwatson @kevinpokeeffe Yes, I keep thinking Spotlight is in a Departed kind of position."
159,@DanGreen1986 I guess. The exec committee probably had its hands full saving other things. Would've made a nice counterpoint to Spotlight.
160,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
161,"It's been a rough week for Michael Keaton. No SAG nomination, no Globe nomination, and now he can't even win the Spotlight Award."
162,‘Spotlight’ a true portrait of an investigation https://t.co/o6BtzrQ0dE via @sfchronicle  REVIEW PLUS VIDEO OF MOI.
163,@nathanielr whoa! No Spotlighters! No Stallone!
164,RT @dominicumile: Long @FilmComment examination of 'Spotlight' https://t.co/G5J38RjuWP
165,"Michael Sragow praises Tom McCarthy's @SpotlightMovie, which pops with intensity and journalistic integrity: https://t.co/Och9wsN5ez"
166,"'Skyfall,' 'Karenina,' 'Mirror' top Costume Designers Awards: Anne Hathaway feted with Guild's Lacoste Spotlight Award http://t.co/ERjJZykP"
167,Oscar hopefuls: Will e-vote angst give way to elation?: Spotlight turns from process to nominees on Thursday http://t.co/Zi7XCkVC
168,"Doha digs local pix: Film News: 
            Spotlight saved for homespun talent http://t.co/NjDXPTz5"
169,"After rewatching Spotlight, I am happy to upgrade it from adequate to very adequate"
170,Unpopular opinion: Joy &gt; The Hateful Eight &gt; The Revenant &gt; Spotlight
171,"The only award that Brooklyn &amp; Spotlight should be battling it out for is ""most totally adequate film of the year"" https://t.co/qGy3RLXuQo"
172,"Oscar best pic nominees: The Big Short, Bridge of Spies, Brooklyn, Mad Max, The Martian, The Revenant, Room, Spotlight"
173,Spotlight cements its lead in the best picture race with new wins from critic groups in North Carolina and Oklahoma: https://t.co/oUCNqKWkUN
174,National Society of Film Critics have named Spotlight the best picture of 2015. Full winners list: https://t.co/9D5QZL22Ch #NSFC
175,Vancouver Film Critics name Spotlight the best picture of 2015. More in our updated Film Awards Scorecard: https://t.co/IQEJflDEOK
176,"Updated Film Awards Scorecard: Spotlight still leads the best pic race, but all acting contests are up for grabs: https://t.co/wJnkGsIHIb"
177,Spotlight named best pic by SF critics; Carol picked by Toronto critics. Full winners lists + more updates at https://t.co/IrEGVhfwxa #SFFCC
178,"#GoldenGlobes noms for best picture-drama: Carol, Mad Max: Fury Road, The Revenant, Room, Spotlight"
179,Wash DC critics have named Spotlight best picture. Full winners list + more updates in our Film Awards Scorecard: https://t.co/S0wHhRWXr7
180,2015 Film Awards Scorecard https://t.co/Vx3HEK1POH Carol &amp; Spotlight are tied for the VERY early Best Picture lead.
181,Spotlight has jumped out to a (very) early lead for Best Picture in our ongoing 2015 film awards scorecard: https://t.co/Vx3HEK1POH
182,"Spotlight [90] https://t.co/DUAKGIlnBe USA Today: ""No need to bury the lede: Spotlight is a masterpiece."""
183,Our guide to this weekend's new movies in theaters: https://t.co/MWt1jht2lG #Spectre #Spotlight #Brooklyn #Trumbo #TheHallow
184,"Spotlight [87] https://t.co/DUAKGIlnBe Playlist: ""Restrained, intelligent &amp; grown-up, but unfolding w/the pacing &amp; rhythm of a thriller."""
185,Some solid movie choices this weekend in theaters: https://t.co/7VWwRQFx4A #Spotlight #SPECTRE #Brooklyn #InJacksonHeights #TheHallow
186,"Spotlight [84] https://t.co/w7zZ0kYUY8 
Playlist: ""Restrained, intelligent and grown-up ... with the pacing and rhythm of a thriller."""
187,"Picture: Big Short, Bridge of Spies, Brooklyn (nice!), Mad Max Fury Road (wooooo), The Martian, Revenant, Room, Spotlight. #OscarNoms"
188,"Director: Big Short, Mad Max, Revenant, Room, Spotlight. Big surprises there! #OscarNoms"
189,"Original Screenplay: Bridge of Spies, Ex Machina, Inside Out (yay!), Spotlight, Straight Outta Compton #OscarNoms"
190,"Editing: Big Short, Mad Max, Revenant, Spotlight, Star Wars. #OscarNoms"
191,"I liked Spotlight with reservations. As a doc, this story would have been gripping. As narrative, it struggles with cliche. #tiff15"
192,"RT @caraNYT: Gotham best feature goes to ""Spotlight."" Last year's winner ""Birdman"" went on to Oscar best pic (tho their 2013 winner didn't …"
193,"John Turturro gives the last award of the night, to Best Feature…. Spotlight. Bit of a surprise. #GothamAwards"
194,"Back to the #GothamAwards, CK Spotlight Award goes to Chanelle Aponte Pearson."
195,"RT @ZeitchikLAT: Jarring to see indie Web series like  ""Qraftfish"" and ""Shugs and Fats"" up there with the Spotlights and Carols of the worl…"
196,Matt Dillon giving Best Screenplay to: Tom McCarthy and Josh Singer for Spotlight. #GothamAwards
197,"“Diary of a Teenage Girl,” “Carol” and “Spotlight” top IFP Gotham Award noms. https://t.co/OlYPe8Kq3a https://t.co/4kE64T9X5B"
198,#SpotlightMovie Wins Big At Las Vegas Film Critics Awards ---&gt; https://t.co/wybamG4TS4 https://t.co/bhBsrxvRuT
199,WATCH: .@MichaelKeaton Deals With a Few Bad Apples in #SpotlightMovie ---&gt; https://t.co/jpVMtgNCcg https://t.co/0opMeGYvU0
200,Follow&amp;RT 4 chance 2 win a #SpotlightMovie Prize Pack! No Purc Req US18+ #Sweepstakes Rules: https://t.co/w3BmpLdxCW https://t.co/Uc2kTfX0g1
201,#SpotlightMovie is Certified Fresh at 96% with 74 reviews ---&gt; https://t.co/me6trwrcNJ    🍅 #Tomatometer @SpotlightMovie
202,"Critics weigh in on #SPECTRE, #PeanutsMovie, #Spotlight, #BrooklynMovie, #Trumbo, #MissYouAlready and more ---&gt; https://t.co/TMC3YHVfXN"
203,#SpotlightMovie is Certified Fresh at 95% with 58 reviews ---&gt; https://t.co/huckClNeGL   🍅 #Tomatometer @SpotlightMovie
204,#SpotlightMovie is Certified Fresh at 93% with 44 reviews ---&gt; https://t.co/GEoEufZKkH  🍅 #Tomatometer @SpotlightMovie
205,#SpotlightMovie is Certified Fresh at 93% with 44 reviews ---&gt; https://t.co/uqzZBub4KM 🍅 #Tomatometer @SpotlightMovie
206,#SpotlightMovie is Certified Fresh at 93% ---&gt; https://t.co/X3eyVcBxth https://t.co/gT7ZaNXnie
207,"@ems_shore here: Brie Larson, Leo, Jen Jason Leigh, Stallone, Iñárritu (director)... Best Pic is a tough call though... probably Spotlight."
208,"So, Spotlight is a joy. Cool headed, expertly focused. A jigsaw puzzle that celebrates the thrill &amp; impact of proper journalism. Out 29/01"
209,Two minutes with... Spotlight star Michael Keaton https://t.co/FU9x5Bz8nU
210,'The church was corrupt to the core': meet the Oscar-nominated heroes of Spotlight https://t.co/7AneqfbKwb
211,Spotlight review: 'skin-prickling' http://t.co/oFSwVzwN2K
212,"Guaranteed lock win: Spotlight for Original Screenplay. Book it, bet on it, RT this on Oscar night."
213,"RT @latimes: ""Spotlight,"" ""Big Short"" and ""Revenant"" may be strongest contenders for best picture Oscar https://t.co/ruVaMIHFHt"
214,Spotlight wins film at #critics choice
215,Amy wins documentary: Spotlight original screenplay and The Big Short adapted   #CriticsChoice
216,"RT @latimesmovies: 'Spotlight,' 'Trainwreck,' 'Trumbo' receive WGA nominations https://t.co/P9Kdmeg5HC"
217,"National Society of Film Critics name ""Spotlight"" best of 2015"
218,"Josh Singer and Tom McCarthy win NSFC's screenplay honors for ""Spotlight."""
219,"RT @latimesmovies: 'The Big Short,' 'Brooklyn,' 'Spotlight' and other movie recommendations from our reviewers https://t.co/tDB5lkGPXt"
220,"RT @latimesmovies: 'The Big Short,' 'Brooklyn,' 'Spotlight' and other movie recommendations from our reviewers https://t.co/VUvZpbjK9j"
221,"RT @latimesmovies: 'Straight Outta Compton,' 'The Big Short,' 'Spotlight' among film cast SAG nominees https://t.co/e0npMWs3rm"
222,RT @latimesmovies: 'Spotlight' named best of 2015 by the Los Angeles Film Critics Assn. https://t.co/ijWHj0oTAF
223,"""Spotlight"" win best picture from LAFCA; earlier today it took top prize in Boston"
224,"Josh Singer and Tom McCarthy win screenplay honors for ""Spotlight"" at LAFCA awards. Charlie Kaufman runner up for Anamolisa"
225,"Michael Keaton named lead actor by NYFCC for ""Spotlight"""
226,"RT @latimes: Gotham Awards: ""Spotlight"" scores best feature, Paul Dano wins best actor https://t.co/so4B6OhArk"
227,"RT @EyeForFilm: The first of our full reports from #VeniceFilmFestival: Everest, Black Mass, Spotlight and The Danish Girl http://t.co/rpt8…"
228,Very disappointed by Spotlight; worthy but pedestrian and wholly uncinematic #Venice2015
229,Spotlight review – exposing the sins of the fathers https://t.co/LqIT2fGFu7
230,"SAG awards 2016: Spotlight, Straight Outta Compton and Leonardo DiCaprio up for awards – live! https://t.co/tchwzvig8I"
231,"The Guardian film show: Spotlight, Dirty Grandpa, 13 Hours and Youth - Audio Review https://t.co/wPoZwYyPEP"
232,"""A movie of clarity and force"" - Peter Bradshaw on Spotlight https://t.co/sD6a3KpEvq https://t.co/2GDJ9JbzWf"
233,Spotlight review – Catholic church called to account over child abuse https://t.co/FYvgwTYJwK
234,"The Guardian film show: Spotlight, Dirty Grandpa, 13 Hours and Youth – video reviews https://t.co/182QQIkywY"
235,Spotlight – video review https://t.co/eC4KCaS3Ma
236,Spotlight stars and director Tom McCarthy: 'The Catholic church can't live this down' – video interview https://t.co/pFkwKh196J
